id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,108922.0,0.85624,2165148995286,1,40442545176,19876993.0,111814.0,67.81,2025-06-10T16:48:37.618Z
ethereum,eth,Ethereum,2741.27,6.7769,330860973644,2,35421516591,120722642.6399531,4878.26,0.432979,2025-06-10T16:48:37.004Z
tether,usdt,Tether,1.0,-0.03489,155199482818,3,72864094419,155181610791.2075,1.32,0.572521,2025-06-10T16:48:37.579Z
ripple,xrp,XRP,2.28,-0.34859,133770854646,4,2698559895,58819652442.0,3.4,0.00268621,2025-06-10T16:48:37.294Z
binancecoin,bnb,BNB,662.74,0.55646,96674331937,5,889243948,145887575.79,788.84,0.0398177,2025-06-10T16:48:37.895Z
solana,sol,Solana,157.93,1.03365,82891350050,6,4521913234,524924671.2784382,293.31,0.500801,2025-06-10T16:48:36.808Z
usd-coin,usdc,USDC,0.999775,-0.00499,60979255378,7,10632510132,60993016103.1459,1.17,0.877647,2025-06-10T16:48:38.250Z
dogecoin,doge,Dogecoin,0.191241,2.52599,28597499748,8,1540511030,149615426383.7051,0.731578,8.69e-05,2025-06-10T16:48:36.979Z
tron,trx,TRON,0.292956,3.32791,27786484446,9,784828855,94848006198.4704,0.431288,0.00180434,2025-06-10T16:48:36.693Z
cardano,ada,Cardano,0.699269,2.48675,25238058168,10,811980628,36095092968.40453,3.09,0.01925275,2025-06-10T16:48:36.392Z
